store,tel,jibeon addr,road addr,gu,main food,reg date
빌라소르티노,553-9000,서울특별시 용산구 이태원동 124-12번지 지하1층 ,"서울특별시 용산구 이태원로27나길 36  (이태원동,지하1층)",용산구,nan,2023-05-20
강가 선릉점,3468-4670,서울특별시 강남구 대치동 금강타워 지하1층 ,,,nan,2023-05-20
아그라,,서울특별시 용산구 이태원동 172-2번지 덕흥빌딩 지하1층 ,"서울특별시 용산구 이태원로 153  (이태원동,덕흥빌딩 지하1층)",용산구,nan,2023-05-20
웨스턴차이나,795-6751,서울특별시 용산구 한남동 263-10번지 ,서울특별시 용산구 독서당로 73  (한남동),용산구,nan,2023-05-20
두바이,798-9277,서울특별시 용산구 이태원동 127-2번지 지상2층 ,"서울특별시 용산구 이태원로 192  (이태원동,지상2층)",용산구,nan,2023-05-20
와즈완,798-1253,서울특별시 용산구 한남동 732-151번지 ,서울특별시 용산구 우사단로10길 45  (한남동),용산구,nan,2023-05-20
마오,793-8845,서울특별시 용산구 이태원동 228-6번지 지상4층 ,"서울특별시 용산구 회나무로 57  (이태원동,지상4층)",용산구,nan,2023-05-20
마이차이나,749-9287,서울특별시 용산구 이태원동 118-20번지 지상2층 ,"서울특별시 용산구 이태원로27가길 54  (이태원동,지상2층)",용산구,nan,2023-05-20
베를린,749-0903,서울특별시 용산구 이태원동 457-1번지 지하1층 ,"서울특별시 용산구 녹사평대로40길 48  (이태원동,지하1층)",용산구,nan,2023-05-20
모글인테내셔날(파키스탄),796-5501,서울특별시 용산구 후암동 340-5번지 ,서울특별시 용산구 두텁바위로60길 25  (후암동),용산구,nan,2023-05-20
이탈리아노(이태리식),580-8122,서울특별시 용산구 이태원동 534번지 ,서울특별시 용산구 녹사평대로 206  (이태원동),용산구,nan,2023-05-20
세종식당(한국전통식),796-4100,"서울특별시 용산구 한남동 762-162번지 1,2층 ",,,nan,2023-05-20
남해숫불갈비(한국전통식),790-2322,서울특별시 용산구 한남동 722-16번지 ,,,nan,2023-05-20
파타야,793-4888,서울특별시 용산구 이태원동 116-14번지 ,서울특별시 용산구 이태원로27가길 52  (이태원동),용산구,nan,2023-05-20
챠크라,797-0752,서울특별시 용산구 한남동 28-9번지 ,서울특별시 용산구 독서당로 83  (한남동),용산구,nan,2023-05-20
(주) 타이가든,3461-1462,서울특별시 용산구 한남동 737-24번지 3층 ,"서울특별시 용산구 이태원로 223  (한남동,3층)",용산구,nan,2023-05-20
메르하바,794-3182,서울특별시 용산구 한남동 657-43번지 2층 ,"서울특별시 용산구 대사관로 45-1  (한남동,2층)",용산구,nan,2023-05-20
북경,795-2402,서울특별시 용산구 한강로3가 60번지 ,서울특별시 용산구 한강대로 52-1  (한강로3가),용산구,nan,2023-05-20
현경한남점,796-6457,서울특별시 용산구 한남동 631-15번지 ,서울특별시 용산구 대사관로30길 11-6  (한남동),용산구,nan,2023-05-20
알리바바,790-7754,서울특별시 용산구 이태원동 124-9번지 ,서울특별시 용산구 이태원로 203  (이태원동),용산구,nan,2023-05-20
파챠이,792-0872,서울특별시 용산구 이촌동 300-16번지 ,서울특별시 용산구 이촌로88길 8  (이촌동),용산구,nan,2023-05-20
사이공그릴,7937784,서울특별시 용산구 이태원동 119-7번지 ,서울특별시 용산구 이태원로 173-7  (이태원동),용산구,nan,2023-05-20
사쿠라,790-0779,"서울특별시 용산구 한남동 78-2번지 외1필지 2,3층 ","서울특별시 용산구 대사관로 77  (한남동,외1필지 2,3층)",용산구,nan,2023-05-20
마이타이,794-8090,서울특별시 용산구 이태원동 123-20번지 ,,,nan,2023-05-20
쉐프마일리오스트리아,794-7024,서울특별시 용산구 이태원동 130-1번지 2층 ,"서울특별시 용산구 보광로 125  (이태원동,2층)",용산구,nan,2023-05-20
타지펠리스,749-0316,서울특별시 용산구 이태원동 130-2번지 ,,,nan,2023-05-20
솔티노,797-0488,서울특별시 용산구 한남동 736-11번지 2층 ,"서울특별시 용산구 이태원로 208  (한남동,2층)",용산구,nan,2023-05-20
비냐,553-9000,서울특별시 용산구 이태원동 118-20번지 1층 ,"서울특별시 용산구 이태원로27가길 54  (이태원동,1층)",용산구,nan,2023-05-20
카레타운,,서울특별시 용산구 이태원동 119-18번지 지상2층 ,"서울특별시 용산구 이태원로 169  (이태원동,지상2층)",용산구,nan,2023-05-20
만리장성,759-6554,서울특별시 용산구 동자동 42-9번지 ,서울특별시 용산구 한강대로102길 3  (동자동),용산구,nan,2023-05-20
한국아미고스(주),795-9711,서울특별시 용산구 이태원동 124-6번지 지상1층 ,"서울특별시 용산구 이태원로27길 6  (이태원동,지상1층)",용산구,nan,2023-05-20
고매식,795-7915,서울특별시 용산구 한남동 312-5번지 지상2층 ,"서울특별시 용산구 유엔빌리지1길 2  (한남동,지상2층)",용산구,nan,2023-05-20
올라마리오,793-9003,서울특별시 용산구 한남동 736-8번지 지상2층 ,"서울특별시 용산구 이태원로 216  (한남동,지상2층)",용산구,nan,2023-05-20
인디아,712-1509,"서울특별시 용산구 남영동 89-5번지 지상1,2층 ","서울특별시 용산구 한강대로76길 5  (남영동,지상1,2층)",용산구,nan,2023-05-20
꼬메돌,749-2827,서울특별시 용산구 이태원동 130-3번지 지상2층 ,"서울특별시 용산구 보광로59길 5  (이태원동,지상2층)",용산구,nan,2023-05-20
마러커쉬나이트,715-9441,서울특별시 용산구 한남동 736-15번지 지상2층 ,"서울특별시 용산구 이태원로 220  (한남동,지상2층)",용산구,nan,2023-05-20
가사안토니오,794-8803,서울특별시 용산구 이태원동 124-6번지 2층 ,"서울특별시 용산구 이태원로27길 6  (이태원동,2층)",용산구,nan,2023-05-20
댈리달발,792-1448,서울특별시 용산구 이태원동 131-36번지 지상1층 ,"서울특별시 용산구 보광로60길 10  (이태원동,지상1층)",용산구,nan,2023-05-20
왕타이,749-2746,서울특별시 용산구 이태원동 176-3번지 지상3층 ,,,nan,2023-05-20
라쿠치나(이태리식),798-5211,서울특별시 용산구 이태원동 258-7번지 ,서울특별시 용산구 회나무로44길 10  (이태원동),용산구,nan,2023-05-20
젤렌,3785-1555,서울특별시 용산구 이태원동 116-14번지 지상2층 ,"서울특별시 용산구 이태원로27가길 52  (이태원동,지상2층)",용산구,nan,2023-05-20
신락원 제라-1-1565호,02-2244-0008,서울특별시 동대문구 전농동 60-32 ,"서울특별시 동대문구 전농로20길 2, 1층 (전농동)",동대문구,nan,2023-05-20
비나레스토랑   제라1-1112(인도식,926-5860,서울특별시 동대문구 제기동 137-41 1층 ,서울특별시 동대문구 안암로24길 4 (제기동),동대문구,nan,2023-05-20
영화장    제라1-1066,967-9595,서울특별시 동대문구 이문동 288-23 ,서울특별시 동대문구 휘경로 3-8 (이문동),동대문구,nan,2023-05-20
공자식탁     제라1-1010 (중국식,966-7789,서울특별시 동대문구 제기동 1142-8 지하1~1층 ,서울특별시 동대문구 회기로8길 11 (제기동),동대문구,nan,2023-05-20
도원 제라1-1541호,,서울특별시 동대문구 회기동 42-74 ,"서울특별시 동대문구 회기로13길 22, 1층 (회기동)",동대문구,nan,2023-05-20
복가주점 제라-1-1555호,,"서울특별시 동대문구 회기동 16-65 2,3층 ","서울특별시 동대문구 경희대로 3, 2,3층층 (회기동)",동대문구,nan,2023-05-20
푸드카페앤그릴,02-795-7915,서울특별시 성북구 성북동 산 5-1 ,서울특별시 성북구 북악산로 637 (성북동),성북구,nan,2023-05-20
갑천하,02-953-4652,서울특별시 성북구 안암동5가 104-221 ,서울특별시 성북구 인촌로26길 51 (안암동5가),성북구,nan,2023-05-20
청도,02-928-3344,서울특별시 성북구 동소문동4가 230 ,서울특별시 성북구 동소문로13가길 16 (동소문동4가),성북구,nan,2023-05-20
미스터왕,02-929-7050,서울특별시 성북구 안암동5가 86-185번지 ,서울특별시 성북구 인촌로28길 17  (안암동5가),성북구,nan,2023-05-20
화원,02-923-3888,서울특별시 성북구 안암동5가 101-66 ,서울특별시 성북구 개운사길 21-3 (안암동5가),성북구,nan,2023-05-20
고려성,02-923-9577,서울특별시 성북구 안암동5가 134-35 ,서울특별시 성북구 안암로 69-1 (안암동5가),성북구,nan,2023-05-20
베나레스,02-921-9982,서울특별시 성북구 안암동5가 102-59 ,서울특별시 성북구 인촌로24길 27 (안암동5가),성북구,nan,2023-05-20
곰의집,02-762-1448,서울특별시 성북구 성북동 산 5-1 ,서울특별시 성북구 북악산로 637 (성북동),성북구,nan,2023-05-20
오샬,02-6084-6527,서울특별시 성북구 안암동5가 146-5번지 3층 ,서울특별시 성북구 인촌로24길 6 (안암동5가),성북구,nan,2023-05-20
싸루(SARU)인도&네팔푸드레스토랑,02-953-1916,서울특별시 성북구 안암동5가 103-39번지 2층 ,서울특별시 성북구 인촌로26길 42-3 (안암동5가),성북구,nan,2023-05-20
味차이,975-8313,서울특별시 노원구 공릉동 312-24번지 ,서울특별시 노원구 동일로191가길 73 (공릉동),노원구,nan,2023-05-20
천객가 수락산역점,02-2653-8315,서울특별시 노원구 상계동 1117-16번지 ,서울특별시 노원구 동일로242가길 22  (상계동),노원구,nan,2023-05-20
천지천(Chun Ji Chun),936-3969,서울특별시 노원구 상계동 389-683번지 ,서울특별시 노원구 상계로27길 7  (상계동),노원구,nan,2023-05-20
주)63시티방송회관클럽백리향,,서울특별시 양천구 목동 923-1번지 방송회관 ,,,nan,2023-05-20
(주)63시티방송회관클럽백리향,,서울특별시 양천구 목동 923-5번지 ,서울특별시 양천구 목동동로 233  (목동),양천구,nan,2023-05-20
미스차이나,,서울특별시 양천구 신월동 427-2번지 ,서울특별시 양천구 월정로 65 (신월동),양천구,nan,2023-05-20
타오(중국식),2085-2888,"서울특별시 구로구 구로동 212-8 대륭포스트타워1 지하 125, 126호 ","서울특별시 구로구 디지털로 288 (구로동, 대륭포스트타워1 지하 125, 126호)",구로구,nan,2023-05-20
도원(중국식),854-5552,서울특별시 구로구 구로동 437-1번지 ,서울특별시 구로구 가마산로 229 (구로동),구로구,nan,2023-05-20
상하이궁신도림점(중국식),3439-7793,"서울특별시 구로구 신도림동 337번지 대우푸르지오 211, 212호 ","서울특별시 구로구 경인로 661 (신도림동, 대우푸르지오 211, 212호)",구로구,nan,2023-05-20
얌차이나(구로) 중국식,818-1414,서울특별시 구로구 구로동 573번지 애경백화점 7층 ,"서울특별시 구로구 구로중앙로 152, 7층 (구로동, 애경백화점)",구로구,nan,2023-05-20
소용궁(중국식),826-8009,서울특별시 구로구 구로동 197-5번지 삼성IT밸리 지층 109호,"서울특별시 구로구 디지털로33길 27, 지층 109호 (구로동, 삼성IT밸리)",구로구,nan,2023-05-20
죽림(중국식),862-1642,"서울특별시 구로구 구로동 212-30번지 에이스트윈타워2차 지하동 104,105호","서울특별시 구로구 디지털로 273, 지하동 104,105호 (구로동, 에이스트윈타워2차)",구로구,nan,2023-05-20
디큐브한식저잣거리,2211-0740,서울특별시 구로구 신도림동 692번지 지하2층 ,"서울특별시 구로구 경인로 662, 지하2층 (신도림동)",구로구,nan,2023-05-20
실크로드(중국식),2066-6100,서울특별시 구로구 고척동 69-34 ,서울특별시 구로구 경인로 398 (고척동),구로구,nan,2023-05-20
왕중왕미식성(중국식),856-9245,서울특별시 구로구 가리봉동 126-60번지 ,서울특별시 구로구 우마길 27 (가리봉동),구로구,nan,2023-05-20
뽕사부 구로점(중국식),02-838-5454,서울특별시 구로구 구로동 197-17 에이스테크노타워1차 ,"서울특별시 구로구 디지털로31길 38-9, 에이스테크노타워1차 1층 104호 (구로동)",구로구,nan,2023-05-20
혜혜패스트푸드(중국식),02-858-8666,서울특별시 구로구 가리봉동 89-158 ,"서울특별시 구로구 디지털로27길 123, 2층 (가리봉동)",구로구,nan,2023-05-20
칠룡성,830-2284,서울특별시 관악구 신림동 1643-4번지 ,서울특별시 관악구 시흥대로 576  (신림동),관악구,nan,2023-05-20
아웃백스테이크하우스 서울대점,884-4761,서울특별시 관악구 봉천동 1601-1번지 ,서울특별시 관악구 남부순환로 1840 (봉천동),관악구,nan,2023-05-20
만리장성,875-2224,서울특별시 관악구 봉천동 1598-21번지 ,서울특별시 관악구 관악로 146  (봉천동),관악구,nan,2023-05-20
아리차이,877-1272,서울특별시 관악구 신림동 1430-11번지 ,서울특별시 관악구 신림동길 4  (신림동),관악구,nan,2023-05-20
라꼬미다데수다메리카,070-4521-9421,서울특별시 관악구 봉천동 1604-1번지 1층 ,"서울특별시 관악구 관악로14길 22, 1층 (봉천동)",관악구,nan,2023-05-20
China 唐(차이나당),,서울특별시 관악구 봉천동 1625-29번지 2층 ,"서울특별시 관악구 낙성대로 16, 2층 (봉천동, 낙성대빌딩)",관악구,nan,2023-05-20
(주)바른손 베니건스 압구정점,517-5007,서울특별시 강남구 논현동 94번지 ,서울특별시 강남구 도산대로 334  (논현동),강남구,nan,2023-05-20
젠하이더웨이,541-1461,"서울특별시 강남구 신사동 645-18번지 1,2층 ","서울특별시 강남구 언주로168길 24  (신사동,1,2층)",강남구,nan,2023-05-20
중화요리첸,02-516-4808,서울특별시 강남구 청담동 52-8번지 지상1층 ,"서울특별시 강남구 도산대로94길 33 (청담동,지상1층)",강남구,nan,2023-05-20
티엔티엔,566-8090,서울특별시 강남구 역삼동 708-33번지 파라다이스빌딩 지하1층 101호 ,"서울특별시 강남구 테헤란로52길 21  (역삼동,파라다이스빌딩 지하1층 101호)",강남구,nan,2023-05-20
폴,3445-8867,서울특별시 강남구 청담동 22-16번지 1층 ,"서울특별시 강남구 선릉로146길 15  (청담동,1층)",강남구,nan,2023-05-20
(주)가배전문점,02-3444-0770,서울특별시 강남구 청담동 96-6번지 1층 ,"서울특별시 강남구 도산대로75길 19  (청담동,1층)",강남구,nan,2023-05-20
(주)파리크라상 퀸스파크 청담점,542-4073,서울특별시 강남구 청담동 83-18번지 ,서울특별시 강남구 압구정로60길 22  (청담동),강남구,nan,2023-05-20
78온더라이즈,3454-0022,서울특별시 강남구 삼성동 78번지 삼안빌딩 1층 ,"서울특별시 강남구 영동대로 648  (삼성동,삼안빌딩 1층)",강남구,nan,2023-05-20
그릴아지사이,565-7442,서울특별시 강남구 역삼동 647-11번지 동영빌딩 지상 1층 ,"서울특별시 강남구 테헤란로13길 8-10  (역삼동,동영빌딩 지상 1층)",강남구,nan,2023-05-20
란나타이(양재점),577-0913,서울특별시 강남구 도곡동 953-1번지 지하1층 B107호 ,"서울특별시 강남구 강남대로 240  (도곡동,지하1층 B107호)",강남구,nan,2023-05-20
첸,02-565-7454,서울특별시 강남구 역삼동 746-12번지 ,서울특별시 강남구 논현로77길 3  (역삼동),강남구,nan,2023-05-20
팔장선원,565-8887,서울특별시 강남구 도곡동 518-7번지 1층 ,"서울특별시 강남구 논현로30길 6  (도곡동,1층)",강남구,nan,2023-05-20
(주)이닝,547-7444,서울특별시 강남구 청담동 22-12번지 1층 ,"서울특별시 강남구 도산대로58길 14  (청담동,1층)",강남구,nan,2023-05-20
도쿄 사이카보,517-0108,서울특별시 강남구 청담동 127-19번지 지상1층 ,"서울특별시 강남구 도산대로101길 9  (청담동,지상1층)",강남구,nan,2023-05-20
드마리,512-0830,서울특별시 강남구 신사동 580-5번지 지하1층 ,"서울특별시 강남구 논현로175길 6  (신사동,지하1층)",강남구,nan,2023-05-20
크리스탈제이드상하이딜라이트,02-3449-5864,서울특별시 강남구 압구정동 현대백화점 본점 5층 ,,,nan,2023-05-20
키라,02-3446-7990,서울특별시 강남구 청담동 99-12번지 2층 ,"서울특별시 강남구 도산대로75길 14  (청담동,2층)",강남구,nan,2023-05-20
대가방본점,544-6336,서울특별시 강남구 논현동 99-7번지 지상1층 ,"서울특별시 강남구 선릉로145길 13  (논현동,지상1층)",강남구,nan,2023-05-20
일일향,545-6154,서울특별시 강남구 신사동 601-3번지 동우빌딩 지상1층 ,"서울특별시 강남구 논현로168길 25  (신사동,동우빌딩 지상1층)",강남구,nan,2023-05-20
(주)토마틸로지에프씨,2112-3883,서울특별시 강남구 역삼동 강남파이낸스센터 지하2층 ,,,nan,2023-05-20
(주)일본요리점 청산,3442-4451,서울특별시 강남구 청담동 2-10번지 남강빌딩 지하 1층 ,"서울특별시 강남구 도산대로 412 (청담동, 남강빌딩)",강남구,nan,2023-05-20
그라노,545-1330,서울특별시 강남구 신사동 645-1번지 히든하우스 1층 ,"서울특별시 강남구 언주로168길 16  (신사동,히든하우스 1층)",강남구,nan,2023-05-20
공리(논현점),541-7663,서울특별시 강남구 논현동 240-14번지 1층 ,"서울특별시 강남구 선릉로129길 24  (논현동,1층)",강남구,nan,2023-05-20
띵호아,573-2267,서울특별시 강남구 개포동 1237-10번지 지상1층 ,"서울특별시 강남구 개포로20길 6  (개포동,지상1층)",강남구,nan,2023-05-20
나베야,3453-0936,서울특별시 강남구 대치동 899-3번지 2층 ,"서울특별시 강남구 역삼로63길 23  (대치동,2층)",강남구,nan,2023-05-20
더차이나,558-0321,서울특별시 강남구 대치동 890-30번지 지하1층 ,"서울특별시 강남구 선릉로90길 42  (대치동,지하1층)",강남구,nan,2023-05-20
도일처(정찬우),549-2888,서울특별시 강남구 논현동 86-5번지 ,서울특별시 강남구 논현로132길 13  (논현동),강남구,nan,2023-05-20
레스토랑 호카이도,516-0210,서울특별시 강남구 신사동 627-11번지 포도빌딩 지하1층 ,"서울특별시 강남구 언주로 825  (신사동,포도빌딩 지하1층)",강남구,nan,2023-05-20
일품향(이미영),02-3457-4807,서울특별시 강남구 대치동 922-23번지 ,서울특별시 강남구 선릉로64길 5  (대치동),강남구,nan,2023-05-20
차이웍,02-564-7536,서울특별시 강남구 대치동 1021-1번지 101호 ,"서울특별시 강남구 도곡로 446  (대치동,101호)",강남구,nan,2023-05-20
청학루,02-563-0023,서울특별시 강남구 역삼동 668-12번지 ,서울특별시 강남구 봉은사로30길 70  (역삼동),강남구,nan,2023-05-20
(주)바른손베니건스 코엑스점,567-8600,서울특별시 강남구 논현동 94번지 ,서울특별시 강남구 도산대로 334  (논현동),강남구,nan,2023-05-20
(주)이목원 배나무골,3463-5292,서울특별시 강남구 도곡동 대신증권빌딩 지하 1층 ,,,nan,2023-05-20
(주)삼양만나취영루,511-6666,서울특별시 강남구 논현동 141-3번지 ,서울특별시 강남구 학동로2길 11  (논현동),강남구,nan,2023-05-20
대려도,555-05550,서울특별시 강남구 역삼동 833번지 ,서울특별시 강남구 역삼로 118  (역삼동),강남구,nan,2023-05-20
(주)뉴후론티어산업 그릴에이치,02-3446-5547,서울특별시 강남구 청담동 92-8번지 ,서울특별시 강남구 도산대로 439  (청담동),강남구,nan,2023-05-20
채운,02-516-8837,서울특별시 강남구 신사동 525-10번지 ,서울특별시 강남구 논현로175길 107  (신사동),강남구,nan,2023-05-20
(주)다연외식 현경,565-3849,"서울특별시 강남구 대치동 991-2번지 태호빌딩 1층, 지하1층 ","서울특별시 강남구 도곡로 528  (대치동,태호빌딩 1층, 지하1층)",강남구,nan,2023-05-20
(주)바른손 베니건스 테헤란로점,3452-7500,서울특별시 강남구 삼성동 158-10번지 마젤란21아스테리움 B101-B104호 ,"서울특별시 강남구 테헤란로87길 17  (삼성동,마젤란21아스테리움 B101-B104호)",강남구,nan,2023-05-20
가향,549-6858,서울특별시 강남구 논현동 83-20번지 ,서울특별시 강남구 학동로37길 23  (논현동),강남구,nan,2023-05-20
루안(아세아타워점),562-5565,서울특별시 강남구 역삼동 아세아타워빌딩 지하1층 ,,,nan,2023-05-20
더키친살바토레쿠오모압구정점,2127-9835,서울특별시 강남구 신사동 646-2번지 지상1층 ,"서울특별시 강남구 언주로164길 29  (신사동,지상1층)",강남구,nan,2023-05-20
어바웃샤브이대점,,서울특별시 서대문구 대현동  54번지 1호  (201호),"서울특별시 서대문구 이화여대8길 2, (대현동,(201호))",서대문구,소고기샤브,2023-05-20
지호한방삼계탕 연희점,,서울특별시 서대문구 연희동  78번지 20호  (지하1층~지상1층),"서울특별시 서대문구 연희로25길 10, (연희동,(지하1층~지상1층))",서대문구,삼계탕,2023-05-20
이화수전통육개장(충정로점),,서울특별시 서대문구 충정로3가  360번지 24호  1층,"서울특별시 서대문구 충정로 18, 1층 (충정로3가)",서대문구,설렁탕,2023-05-20
나주곰탕,,"서울특별시 서대문구 대현동  104번지 5호  신촌푸르지오시티 1층 101, 102호","서울특별시 서대문구 신촌역로 7, 신촌푸르지오시티 101, 102호 (대현동)",서대문구,곰탕,2023-05-20
등촌 샤브칼국수,,"서울특별시 서대문구 홍은동  415번지 6호  (지상1,2층)","서울특별시 서대문구 모래내로 273, (홍은동,(지상1,2층))",서대문구,샤브샤브,2023-05-20
호천식당,,서울특별시 서대문구 연희동  136번지 26호  ,"서울특별시 서대문구 연희로14길 5, (연희동)",서대문구,샤브샤브,2023-05-20
서대문영양족발,,"서울특별시 서대문구 홍제동  90번지 53호  지하1층,지상1층","서울특별시 서대문구 통일로 377, (홍제동, 지하1층,지상1층)",서대문구,족발,2023-05-20
벙커원,,서울특별시 서대문구 충정로3가  270번지  1층,"서울특별시 서대문구 충정로 20, 1층 (충정로3가)",서대문구,햄버거,2023-05-20
족발야시장 남가좌점,,서울특별시 서대문구 남가좌동  338번지 5호  1층,"서울특별시 서대문구 증가로 117-1, 1층 (남가좌동)",서대문구,돼지고기구이,2023-05-20
인도야시장,,서울특별시 서대문구 창천동  9번지 20호  지상3층,"서울특별시 서대문구 연세로 20, (창천동,지상3층)",서대문구,카레덮밥,2023-05-20
주식회사 목란,,서울특별시 서대문구 연희동  132번지 28호  ,"서울특별시 서대문구 연희로15길 21, (연희동)",서대문구,탕수육,2023-05-20
여우골 초밥(신촌점),,서울특별시 서대문구 창천동  62번지 11호  ,"서울특별시 서대문구 연세로5다길 10, (창천동)",서대문구,모듬초밥,2023-05-20
석산,,서울특별시 서대문구 홍제동  334번지 87호  (지상2층),"서울특별시 서대문구 홍제내길 124, (홍제동,(지상2층))",서대문구,돼지고기구이,2023-05-20
손큰할매순대국 서대문역점,,서울특별시 서대문구 충정로2가  26번지  1층 전체,"서울특별시 서대문구 통일로9안길 38, 1층 (충정로2가)",서대문구,짜장면,2023-05-20
라장 훠궈,,서울특별시 서대문구 창천동  33번지 4호  ,"서울특별시 서대문구 연세로 37, 지하1층 (창천동)",서대문구,모듬초밥,2023-05-20
하남돼지집,,서울특별시 서대문구 충정로2가  89번지  ,"서울특별시 서대문구 충정로 71-1, (충정로2가)",서대문구,참치정식,2023-05-20
"배영만 당진 아구동태찜,탕",,서울특별시 서대문구 남가좌동  338번지 1호  B동 1층,"서울특별시 서대문구 증가로 123, (남가좌동, B동 1층)",서대문구,해장국,2023-05-20
어바웃샤브 서대문점,,서울특별시 서대문구 충정로2가  91번지 2호  ,"서울특별시 서대문구 충정로 71, (충정로2가)",서대문구,샤브샤브,2023-05-20
이코노스시,,서울특별시 서대문구 대현동  101번지 5호  ,"서울특별시 서대문구 신촌역로 14, (대현동)",서대문구,회덮밥,2023-05-20
국가대패 북가좌점,,서울특별시 서대문구 북가좌동  307번지 4호  ,"서울특별시 서대문구 응암로 63, (북가좌동)",서대문구,돼지고기구이,2023-05-20
연희녹두삼계탕,,"서울특별시 서대문구 연희동  133번지 20호  (지하1층,지상1,2층)","서울특별시 서대문구 연희맛로 43-1, (연희동,(지하1층,지상1,2층))",서대문구,삼계탕,2023-05-20
원조부안집 서대문점,,서울특별시 서대문구 냉천동  184번지 29호  1층,"서울특별시 서대문구 통일로9안길 22, 1층 (냉천동)",서대문구,"갈비탕,찜",2023-05-20
맛있는 순두부,,서울특별시 서대문구 창천동  5번지 56호  ,"서울특별시 서대문구 명물길 36, (창천동)",서대문구,순두부,2023-05-20
보길도활어회,,서울특별시 서대문구 북아현동  180번지 17호  ,"서울특별시 서대문구 북아현로 67-1, (북아현동)",서대문구,회,2023-05-20
오징어 세상,,서울특별시 서대문구 연희동  189번지 13호  ,"서울특별시 서대문구 연희맛로 7-6, (연희동)",서대문구,파스타,2023-05-20
명당횟집,,서울특별시 서대문구 북가좌동  309번지 1호  ,"서울특별시 서대문구 응암로 87, (북가좌동)",서대문구,생선회,2023-05-20
충정각,,서울특별시 서대문구 충정로3가  360번지 22호  (지상1층),"서울특별시 서대문구 충정로2길 8, (충정로3가,(지상1층))",서대문구,파스타,2023-05-20
원조부안집 서대문점,,서울특별시 서대문구 냉천동  184번지 29호  1층,"서울특별시 서대문구 통일로9안길 22, 1층 (냉천동)",서대문구,동태탕.해물찜,2023-05-20
한방장수삼계탕,,서울특별시 서대문구 미근동  167번지 0호  ,"서울특별시 서대문구 통일로 111, (미근동)",서대문구,삼계탕,2023-05-20
하노이의아침,,서울특별시 서대문구 연희동  188번지 16호  지상1층,"서울특별시 서대문구 연희맛로 10, (연희동,지상1층)",서대문구,베트남음식,2023-05-20
한옥집,,서울특별시 서대문구 냉천동  20번지 1호  1층,"서울특별시 서대문구 통일로9길 12, 1층 (냉천동)",서대문구,해물찜. 해산물요리,2023-05-20
민스키친,,서울특별시 서대문구 연희동  189번지 11호  ,"서울특별시 서대문구 연희맛로 7, (연희동)",서대문구,콩나물냉채,2023-05-20
마포참숯불갈비,,"서울특별시 서대문구 북가좌동  335번지 9호  ,40","서울특별시 서대문구 응암로 145, (북가좌동,,40)",서대문구,갈비.삼겹살,2023-05-20
한솔숯불식당,,서울특별시 서대문구 북가좌동  294번지 15호  (지상1층),"서울특별시 서대문구 증가로23나길 32, (북가좌동,(지상1층))",서대문구,갈비.해물,2023-05-20
안동명가,,서울특별시 서대문구 북가좌동  392번지 26호  1층,"서울특별시 서대문구 수색로 127, 1층 (북가좌동)",서대문구,해장국.감자탕,2023-05-20
오계절 남원추어탕,,서울특별시 서대문구 홍은동  274번지 20호  2층 일부,"서울특별시 서대문구 연희로 267, 2층 (홍은동)",서대문구,추어탕,2023-05-20
