업소명,소재지 지번주소,소재지 도로명주소,업태,주된음식,전화번호
효면옥,,"서울특별시 은평구 증산로 429, 2층 (신사동)",한식,냉면,02-303-7300
보들이쭈꾸미,,"서울특별시 은평구 은평로 46, 1층 (신사동)",한식,쭈꾸미,02-376-3588
향정푸드 도투리,,"서울특별시 은평구 증산로 303 (증산동, 태광아파트 105호)",한식,도토리묵,-
봉평옹심이메밀칼국수(역촌점),,"서울특별시 은평구 은평로3길 9, 1층 (신사동)",한식,메밀칼국수,02-383-2430
은행나무샤브,,"서울특별시 은평구 연서로 183-4, 1층 (갈현동)",한식,샤브샤브,02-353-8628
병천순대국 왕족발,,"서울특별시 은평구 연서로9길 28 (구산동, 1층)",한식,"병천순대국, 왕족발",02-354-4920
설악추어탕한모둠순대국,,"서울특별시 은평구 서오릉로2길 13, 1층 (녹번동)",한식,추어탕,02-358-0600
원할머니보쌈. 족발 응암점,,"서울특별시 은평구 응암로 253, 1층 (응암동)",한식,보쌈,02-355-3101
횟집 산이네,,"서울특별시 은평구 통일로66길 4-1, 1층 (불광동)",일식,생선회,02-384-5466
백년토종삼계탕,,"서울특별시 은평구 응암로 209 (응암동,(지상1층))",한식,삼계탕,02-373-3086
금바위감자탕,,"서울특별시 은평구 증산로 353, 1층 (증산동)",한식,감자탕,02-372-3161
일품(一品)간장게장,,"서울특별시 은평구 진흥로 125 (대조동, 1,2층)",한식,간장게장.돌솥밥,02-388-2299
웃는돌 참치,,"서울특별시 은평구 연서로29길 17-4, 1층 (갈현동)",일식,참치,02-356-5800
지호한방삼계탕,,"서울특별시 은평구 연서로 47, 1층 (역촌동)",한식,삼계탕,02-355-2110
불광동 황소곱창구이,,"서울특별시 은평구 진흥로 141, 1층 (대조동)",한식,곱창구이,02-355-9295
참숯 왕대박 갈비 전문점,,"서울특별시 은평구 서오릉로8길 3-1, 1층 (대조동)",한식,돼지갈비,02-383-0092
불낙쭈,,"서울특별시 은평구 통일로 863-21, 1동 1층 (갈현동)",한식,"낙지, 쭈꾸미",02-386-6005
태성춘 골뱅이 신사(불광점),,"서울특별시 은평구 불광로 6, 지상1층 (대조동)",한식,"골뱅이, 호프",02-354-3390
채선당 구산점,,"서울특별시 은평구 연서로 106, 1층 (역촌동)",한식,샤브샤브,02-389-0550
지호한방삼계탕,,"서울특별시 은평구 서오릉로 222, 2층 (갈현동)",한식,삼계탕,02-355-2110
불광설 주식회사,,"서울특별시 은평구 통일로66길 5, 1,2층 (불광동)",한식,참치,02-387-0037
능원식당,,"서울특별시 은평구 통일로89길 6-10, 1층 (갈현동)",한식,된장찌개,02-352-5202
경복궁 녹번점,,"서울특별시 은평구 서오릉로 4, 지상1,2,3층 (녹번동)",한식,고기,02-352-2008
오광참치,,"서울특별시 은평구 갈현로36길 20, 2층 (갈현동)",일식,참치회,-
통나무집,,"서울특별시 은평구 진흥로19길 6, 1~3층 (불광동)",한식,오리고기,02-382-6626
도원,,"서울특별시 은평구 통일로 689, 1층 (녹번동)",중국식,중식코스,02-353-1544
짚터,,"서울특별시 은평구 갈현로 212, 1층 (갈현동)",한식,삼겹살,02-356-2113
장어가,,"서울특별시 은평구 진흥로 144, 1층 (녹번동)",한식,장어구이,02-388-1271
전주식당,,"서울특별시 은평구 대서문길 15-7 (진관동,지상1~2층, 지하1층)",한식,"삼겹살, 전골",02-355-3300
산들애 보리밥,,"서울특별시 은평구 대서문길 43-16 (진관동,지상1,2층)",한식,보리밥,02-385-9694
북한산 닭명가,,"서울특별시 은평구 대서문길 31 (진관동,외1필지(지상1층~2층))",한식,한정식.닭갈비,02-387-1178
착한낙지,,"서울특별시 은평구 연서로 322, 1,2층 (불광동)",한식,낙지,02-305-9123
만석장,,"서울특별시 은평구 대서문길 43-10 (진관동, 1층.2층)",한식,두부,02-385-2093
은평양촌리,,"서울특별시 은평구 은평로 141 (응암동, 1층,2층,3층,4층)",한식,고기,02-3157-8592
통나무집,,"서울특별시 은평구 진흥로19길 8, 1,2,3층 (불광동)",한식,"오리,닭",02-356-5533
황칠나라 강강수올래,,"서울특별시 은평구 서오릉로 145, 2층 (구산동)",한식,갈비,02-2614-8592
송추가마골,,"서울특별시 은평구 북한산로 276, 2층 (진관동)",한식,"고기,냉면",02-371-0022
히카리,,"서울특별시 은평구 응암로11길 14, 1층 (응암동)",일식,꼬치,02-302-9163
장충당 역촌점,,"서울특별시 은평구 진흥로 33, 지상1층 (역촌동)",한식,족발,02-389-7771
엉터리생고기 연신내점,,"서울특별시 은평구 통일로83길 6-10 (갈현동,1,2층)",한식,"소고기,돼지고기",-
주식회사 파티유,,"서울특별시 은평구 통일로 856, 4층 (불광동)",뷔페식,뷔페,02-383-8355
한우리,,"서울특별시 은평구 불광로 40-7 (불광동, 1,2층)",한식,한우,02-383-9292
원할머니 보쌈(녹번점),,"서울특별시 은평구 은평로 170 (응암동, 상현빌딩 204호)",한식,보쌈,02-358-5355
미담샤브,,"서울특별시 은평구 수색로 191 (증산동, 두빌 2층)",한식,샤브샤브,02-308-0052
홍가네 사골곰탕,,"서울특별시 은평구 통일로82길 15 (불광동, 지하2층2호)",한식,사골곰탕,02-388-9269
야래향,,"서울특별시 은평구 통일로 1010 (진관동, B106,B107)",중국식,"자장면, 탕수육",02-752-3201
삿뽀로녹번점 (주)엔타스시스템,,"서울특별시 은평구 서오릉로 4 (녹번동, 3층)",일식,회,02-337-7758
만진루,,"서울특별시 은평구 응암로 307-1 (응암동, 1층)",중국식,중식코스,02-359-8207
한우천국 역촌역점,,"서울특별시 은평구 진흥로 99 (역촌동, 외1필지 1,2층)",한식,"등심구이, 갈비탕",02-389-1592
은평한우곱창,,"서울특별시 은평구 진흥로 23, 1층 (역촌동)",한식,소곱창,02-3152-6297
차이몬스터,,"서울특별시 은평구 불광천길 334 (응암동, 1층)",중국식,탕수육,02-305-7843
북한산 아구랑 명태랑,,"서울특별시 은평구 대서문길 13-11 (진관동, 1층)",한식,아구탕,02-358-9511
우시장 정육식당 은평,,"서울특별시 은평구 서오릉로 110 (대조동, 지상)",한식,고기,02-383-7789
세븐차이나,,"서울특별시 은평구 북한산로 242 (진관동, 1,2층)",중국식,"탕수육, 짜장면",02-381-7811
개성진 찹쌀 순대,,"서울특별시 은평구 통일로87길 6 (갈현동, 1층)",한식,순대국,02-357-1124
소담촌,,"서울특별시 은평구 서오릉로 145 (구산동, 외5필지 상원빌딩 3층 )",한식,월남쌈샤브,02-356-8668
하동 우렁추어탕,,"서울특별시 은평구 응암로 366, 101동 1층 S2,3,4호 (녹번동, 해주드림빌)",한식,추어탕,02-355-2666
HUGA(휴가),,"서울특별시 은평구 진관2로 19, 3층 306,307,308,309,310,311호 (진관동, 휴먼프라자)",기타,"커피, 빵, 피자, 파스타",02-352-7400
명태어장,,"서울특별시 은평구 진흥로15길 18, 1층 (불광동)",한식,"매콤명태조림, 시래기통갑오징어조림",02-357-7204
두메골쌈밥,,"서울특별시 은평구 진흥로 162, 1층 (녹번동)",한식,쌈밥,02-382-1515
뚜띠쿠치나(응암점),,"서울특별시 은평구 증산로 465, 1층 (신사동)",경양식,"피자, 파스타",02-302-5676
차이찬,,"서울특별시 은평구 서오릉로 122, 1층 (대조동)",중국식,자장면,02-356-5588
미스터초밥왕,,"서울특별시 은평구 통일로71길 32-3, 서교빌 1층 (대조동)",일식,모듬초밥,02-389-1949
합정오리농장(응암점),,"서울특별시 은평구 증산로23길 27, 2층 (신사동)",한식,오리백숙,02-303-5833
선조네,,"서울특별시 은평구 진관2로 12, 메이플카운티2차 제1층 제101호,102호 (진관동)",한식,우렁쌈밥,02-356-7959
고향옥 얼큰순대국,,"서울특별시 은평구 진관2로 15-8, 웅신 미켈란의아침 상가106호,107호 (진관동)",한식,순대국,02-352-3569
녹파랑,,"서울특별시 은평구 녹번로 11, 제A동 제1층 (녹번동)",중국식,"자장면, 짬뽕",02-353-6688
도화원,,"서울특별시 은평구 연서로 167, 수임빌딩 1층 (갈현동)",중국식,자장면,-
